symbol,date,close,high,low,open,volume,adjClose,adjHigh,adjLow,adjOpen,adjVolume,divCash,splitFactor
GOOGL,2005-02-09 00:00:00+00:00,191.58,201.6,189.46,200.76,34308600,4.804330508,5.0556061719,4.7511663955,5.0345411462,1368107705,0.0,1.0
GOOGL,2005-02-10 00:00:00+00:00,187.98,192.21,185.25,191.97,37927400,4.7140518264,4.8201292773,4.6455904928,4.8141106985,1512412869,0.0,1.0
GOOGL,2005-02-11 00:00:00+00:00,187.4,192.32,186.07,186.66,26205700,4.6995069277,4.8228877926,4.6661539703,4.6809496431,1044992220,0.0,1.0
GOOGL,2005-02-14 00:00:00+00:00,192.99,193.08,181.0,186.08,77047200,4.8396896583,4.8419466254,4.5390114936,4.6664047444,3072374506,0.0,1.0
GOOGL,2005-02-15 00:00:00+00:00,195.23,199.84,193.08,193.605,51514000,4.8958630602,5.0114699276,4.8419466254,4.8551122665,2054199248,0.0,1.0
GOOGL,2005-02-16 00:00:00+00:00,198.41,199.33,194.3,194.7,33031500,4.975609229,4.9986804477,4.8725410675,4.8825720321,1317181396,0.0,1.0
GOOGL,2005-02-17 00:00:00+00:00,197.9,199.75,196.81,197.83,20807900,4.9628197491,5.0092129605,4.9354853705,4.9610643303,829746720,0.0,1.0
GOOGL,2005-02-18 00:00:00+00:00,197.95,198.84,196.66,198.51,16954800,4.9640736197,4.986392516,4.9317237588,4.9781169702,676098486,0.0,1.0
GOOGL,2005-02-22 00:00:00+00:00,191.37,198.9,190.39,196.5,26940400,4.7990642516,4.9878971607,4.7744883883,4.9277113729,1074289502,0.0,1.0
GOOGL,2005-02-23 00:00:00+00:00,193.95,194.48,188.66,193.3,31140800,4.8637639734,4.8770550016,4.7311044663,4.8474636559,1241786853,0.0,1.0
GOOGL,2005-02-24 00:00:00+00:00,188.89,189.85,182.23,183.37,51576900,4.7368722709,4.760946586,4.5698567099,4.5984449591,2056707482,0.0,1.0
GOOGL,2005-02-25 00:00:00+00:00,185.87,189.92,185.51,189.15,19927000,4.661138488,4.7627020048,4.6521106198,4.7433923979,794619490,0.0,1.0
GOOGL,2005-02-28 00:00:00+00:00,187.99,189.87,185.85,186.0,15621100,4.7143026005,4.7614481342,4.6606369397,4.6643985515,622915166,0.0,1.0
GOOGL,2005-03-01 00:00:00+00:00,186.06,189.75,185.39,189.29,18603700,4.6659031962,4.7584388449,4.6491013304,4.7469032355,741850886,0.0,1.0
GOOGL,2005-03-02 00:00:00+00:00,185.18,187.67,184.36,185.95,14556400,4.643835074,4.7062778288,4.6232715965,4.6631446809,580458631,0.0,1.0
GOOGL,2005-03-03 00:00:00+00:00,187.005,187.75,184.31,186.13,15201900,4.6896013501,4.7082840217,4.6220177259,4.667658615,606198927,0.0,1.0
GOOGL,2005-03-04 00:00:00+00:00,185.9,187.25,185.07,186.7,13534600,4.6618908103,4.6957453159,4.6410765587,4.6819527396,539712799,0.0,1.0
GOOGL,2005-03-07 00:00:00+00:00,188.81,189.6,187.03,187.78,17317400,4.734866078,4.7546772331,4.6902282854,4.7090363441,690557713,0.0,1.0
GOOGL,2005-03-08 00:00:00+00:00,185.2,189.85,184.97,189.1,16076100,4.6443366222,4.760946586,4.6385688176,4.7421385273,641058984,0.0,1.0
GOOGL,2005-03-09 00:00:00+00:00,181.35,184.65,180.16,184.21,22698000,4.5477885877,4.6305440459,4.5179464679,4.6195099848,905117337,0.0,1.0
GOOGL,2005-03-10 00:00:00+00:00,179.98,181.2,177.4,181.01,21899000,4.5134325339,4.544026976,4.448732812,4.5392622678,873255995,0.0,1.0
GOOGL,2005-03-11 00:00:00+00:00,177.8,180.95,177.15,180.44,16040500,4.4587637766,4.5377576231,4.4424634591,4.5249681432,639639380,0.0,1.0
GOOGL,2005-03-14 00:00:00+00:00,174.99,178.4,172.57,178.33,22270900,4.3882962501,4.4738102236,4.3276089141,4.4720548048,888086074,0.0,1.0
GOOGL,2005-03-15 00:00:00+00:00,178.61,180.0,174.21,175.25,20823300,4.47907648,4.5139340821,4.3687358691,4.3948163771,830360818,0.0,1.0
GOOGL,2005-03-16 00:00:00+00:00,175.6,178.61,175.01,176.7,14198300,4.4035934712,4.47907648,4.3887977984,4.4311786239,566178848,0.0,1.0
GOOGL,2005-03-17 00:00:00+00:00,179.29,179.64,175.8,177.13,16504600,4.4961291199,4.5049062139,4.4086089535,4.4419619109,658146075,0.0,1.0
GOOGL,2005-03-18 00:00:00+00:00,180.04,180.4,178.31,178.81,14165800,4.5149371785,4.5239650467,4.4715532565,4.4840919623,564882861,0.0,1.0
GOOGL,2005-03-21 00:00:00+00:00,180.88,182.17,177.25,179.27,14952400,4.5360022043,4.5683520652,4.4449712003,4.4956275716,596249734,0.0,1.0
GOOGL,2005-03-22 00:00:00+00:00,178.6,181.94,177.85,181.18,11252100,4.4788257059,4.5625842605,4.4600176472,4.5435254277,448694633,0.0,1.0
GOOGL,2005-03-23 00:00:00+00:00,178.98,180.24,177.97,177.97,9680300,4.4883551223,4.5199526609,4.4630269366,4.4630269366,386016713,0.0,1.0
GOOGL,2005-03-24 00:00:00+00:00,179.25,180.86,179.2,180.228,7402900,4.4951260234,4.535500656,4.4938721528,4.5196517319,295201918,0.0,1.0
GOOGL,2005-03-28 00:00:00+00:00,181.42,184.8,180.95,181.68,17458500,4.5495440065,4.6343056576,4.5377576231,4.5560641335,696184291,0.0,1.0
GOOGL,2005-03-29 00:00:00+00:00,179.57,183.28,178.07,181.05,12933000,4.5031507951,4.596187992,4.4655346778,4.5402653642,515723082,0.0,1.0
GOOGL,2005-03-30 00:00:00+00:00,180.45,181.45,179.6,180.64,12459700,4.5252189173,4.5502963289,4.5039031175,4.5299836255,496849523,0.0,1.0
GOOGL,2005-03-31 00:00:00+00:00,180.51,181.39,177.64,177.95,13523600,4.526723562,4.5487916842,4.4547513908,4.4625253884,539274157,0.0,1.0
GOOGL,2005-04-01 00:00:00+00:00,180.04,182.95,179.99,181.76,12351600,4.5149371785,4.5879124462,4.513683308,4.5580703264,492538871,0.0,1.0
GOOGL,2005-04-04 00:00:00+00:00,185.29,185.32,179.84,179.95,16136600,4.6465935893,4.6473459116,4.5099216962,4.5126802115,643471514,0.0,1.0
GOOGL,2005-04-05 00:00:00+00:00,188.57,190.26,187.57,187.73,17455900,4.7288474992,4.7712283248,4.7037700876,4.7077824735,696080612,0.0,1.0
GOOGL,2005-04-06 00:00:00+00:00,189.22,189.65,187.58,189.24,10494600,4.7451478167,4.7559311037,4.7040208618,4.745649365,418488167,0.0,1.0
GOOGL,2005-04-07 00:00:00+00:00,193.76,194.62,188.64,188.78,19365000,4.8589992652,4.8805658392,4.730602918,4.7341137556,772208884,0.0,1.0
GOOGL,2005-04-08 00:00:00+00:00,192.05,195.1,191.45,193.69,10222900,4.8161168915,4.8926029967,4.8010704445,4.8572438464,407653715,0.0,1.0
GOOGL,2005-04-11 00:00:00+00:00,193.23,194.8,192.32,193.09,10810100,4.8457082371,4.8850797733,4.8228877926,4.8421973995,431069210,0.0,1.0
GOOGL,2005-04-12 00:00:00+00:00,193.955,194.42,189.41,193.0,14624500,4.8638893605,4.8755503569,4.7499125249,4.8399404325,583174222,0.0,1.0
GOOGL,2005-04-13 00:00:00+00:00,192.93,194.32,189.73,193.47,13098400,4.8381850136,4.8730426157,4.7579372966,4.8517268159,522318659,0.0,1.0
GOOGL,2005-04-14 00:00:00+00:00,191.45,194.36,190.1,193.27,12293000,4.8010704445,4.8740457122,4.7672159389,4.8467113336,490202107,0.0,1.0
